index_code,date,close,previous_close,category
H30269.CSI,20240522,11307.7794,11332.509,flat
H30269.CSI,20240523,11192.7775,11307.7794,down
H30269.CSI,20240524,11183.6303,11192.7775,flat
H30269.CSI,20240527,11376.3485,11183.6303,up
H30269.CSI,20240528,11338.9499,11376.3485,flat
H30269.CSI,20240529,11336.8789,11338.9499,flat
H30269.CSI,20240530,11239.5412,11336.8789,down
H30269.CSI,20240531,11239.301,11239.5412,flat
H30269.CSI,20240603,11138.8289,11239.301,down
H30269.CSI,20240604,11164.9319,11138.8289,flat
H30269.CSI,20240605,11009.0649,11164.9319,down
H30269.CSI,20240606,11027.9388,11009.0649,flat
H30269.CSI,20240607,11110.0798,11027.9388,up
H30269.CSI,20240611,10903.0018,11110.0798,down
H30269.CSI,20240612,11025.9106,10903.0018,up
H30269.CSI,20240613,10899.0697,11025.9106,down
H30269.CSI,20240614,10874.7167,10899.0697,flat
H30269.CSI,20240617,10760.3904,10874.7167,down
H30269.CSI,20240618,10797.0073,10760.3904,flat
H30269.CSI,20240619,10800.648,10797.0073,flat
H30269.CSI,20240620,10798.7704,10800.648,flat
H30269.CSI,20240621,10771.2603,10798.7704,flat
H30269.CSI,20240624,10636.448,10771.2603,down
H30269.CSI,20240625,10656.0169,10636.448,flat
H30269.CSI,20240626,10658.6705,10656.0169,flat
H30269.CSI,20240627,10646.9413,10658.6705,flat
H30269.CSI,20240628,10735.2209,10646.9413,up
H30269.CSI,20240701,10941.8043,10735.2209,up
H30269.CSI,20240702,10968.489,10941.8043,flat
H30269.CSI,20240703,10867.2831,10968.489,down
H30269.CSI,20240704,10814.3841,10867.2831,flat
H30269.CSI,20240705,10728.9538,10814.3841,down
H30269.CSI,20240708,10630.8056,10728.9538,down
H30269.CSI,20240709,10741.1291,10630.8056,up
H30269.CSI,20240710,10508.0918,10741.1291,down
H30269.CSI,20240711,10516.3595,10508.0918,flat
H30269.CSI,20240712,10485.3696,10516.3595,flat
H30269.CSI,20240715,10586.1429,10485.3696,up
H30269.CSI,20240716,10504.6367,10586.1429,down
H30269.CSI,20240717,10429.1545,10504.6367,down
H30269.CSI,20240718,10473.9196,10429.1545,flat
H30269.CSI,20240719,10390.9769,10473.9196,down
H30269.CSI,20240722,10295.9502,10390.9769,down
H30269.CSI,20240723,10244.7374,10295.9502,flat
H30269.CSI,20240724,10258.6998,10244.7374,flat
H30269.CSI,20240725,10195.6077,10258.6998,down
H30269.CSI,20240726,10122.6471,10195.6077,down
H30269.CSI,20240729,10171.2575,10122.6471,flat
H30269.CSI,20240730,10091.3471,10171.2575,down
H30269.CSI,20240731,10181.1462,10091.3471,up
H30269.CSI,20240801,10186.5052,10181.1462,flat
H30269.CSI,20240802,10175.9929,10186.5052,flat
H30269.CSI,20240805,10059.6173,10175.9929,down
H30269.CSI,20240806,10018.4683,10059.6173,flat
H30269.CSI,20240807,10063.4008,10018.4683,flat
H30269.CSI,20240808,10074.0523,10063.4008,flat
H30269.CSI,20240809,10077.883,10074.0523,flat
H30269.CSI,20240812,10110.6712,10077.883,flat
H30269.CSI,20240813,10147.3747,10110.6712,flat
H30269.CSI,20240814,10126.1628,10147.3747,flat
H30269.CSI,20240815,10228.7723,10126.1628,up
H30269.CSI,20240816,10259.6242,10228.7723,flat
H30269.CSI,20240819,10408.4779,10259.6242,up
H30269.CSI,20240820,10306.8436,10408.4779,down
H30269.CSI,20240821,10229.0007,10306.8436,down
H30269.CSI,20240822,10258.5929,10229.0007,flat
H30269.CSI,20240823,10241.6889,10258.5929,flat
H30269.CSI,20240826,10244.6622,10241.6889,flat
H30269.CSI,20240827,10304.3755,10244.6622,up
H30269.CSI,20240828,10240.1585,10304.3755,down
H30269.CSI,20240829,10024.9985,10240.1585,down
H30269.CSI,20240830,9965.6458,10024.9985,down
H30269.CSI,20240902,10018.6424,9965.6458,up
H30269.CSI,20240903,9898.5714,10018.6424,down
H30269.CSI,20240904,9865.7194,9898.5714,flat
H30269.CSI,20240905,9841.8366,9865.7194,flat
H30269.CSI,20240906,9778.5649,9841.8366,down
H30269.CSI,20240909,9613.5746,9778.5649,down
H30269.CSI,20240910,9627.9284,9613.5746,flat
